,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
261,338,SAR,99.748,29.0,2.0,29.29,42.433,28.025,HARD,10.0,Williams,18.0,177.53225806451613,291.0,61.0,53.55913978494624,0.3655913978494624,0.23118279569892472,30.0,35.9,179.0,1.0,-0.26094254363274944,-1.8617260811673917,0
262,339,SAR,99.904,30.0,2.0,29.25,42.684,27.97,HARD,11.0,Williams,18.0,174.25531914893617,292.0,62.0,52.08244680851064,0.3324468085106383,0.22606382978723405,30.0,35.9,188.0,0.8,0.3339165984702,-1.8454097816752226,0
263,340,SAR,99.69,31.0,2.0,29.27,42.447,27.973,HARD,12.0,Williams,18.0,175.8903743315508,291.0,62.0,52.470588235294116,0.3502673796791444,0.22994652406417113,30.0,35.9,188.0,0.8,-0.022571764690899172,-1.9864017594250758,0
264,341,SAR,99.807,32.0,2.0,29.233,42.587,27.987,HARD,13.0,Williams,18.0,175.6078947368421,292.0,62.0,53.136842105263156,0.3368421052631579,0.22105263157894736,30.0,35.9,163.0,0.8,-0.011849991607263355,-2.157346786076548,0
265,342,SAR,99.763,33.0,2.0,29.11,42.563,28.09,HARD,14.0,Williams,18.0,176.0342105263158,291.0,62.0,52.92368421052632,0.34210526315789475,0.24210526315789474,30.0,35.9,178.0,1.3,-0.20122045540542777,-1.1853765096700453,0
266,343,SAR,99.799,34.0,2.0,29.065,42.646,28.088,HARD,15.0,Williams,18.0,173.1716621253406,292.0,60.0,50.798365122615806,0.31607629427792916,0.25340599455040874,30.0,35.9,153.0,1.5,0.6367784419826881,-0.4340574926825168,0
267,344,SAR,99.764,35.0,2.0,29.1,42.677,27.987,HARD,16.0,Williams,18.0,176.29090909090908,292.0,61.0,53.275324675324676,0.35324675324675325,0.22337662337662337,30.0,35.5,158.0,1.7,-0.8299005817854259,-0.7115479710719184,0
268,345,SAR,99.878,36.0,2.0,29.139,42.667,28.072,HARD,17.0,Williams,18.0,177.00831024930747,292.0,62.0,54.91689750692521,0.3767313019390582,0.20498614958448755,29.9,35.5,158.0,1.8,-1.5051552985325765,-0.8375738071214903,2
269,346,SAR,99.752,37.0,2.0,29.011,42.704,28.037,HARD,18.0,Williams,18.0,175.29539295392954,294.0,60.0,52.417344173441734,0.34146341463414637,0.21680216802168023,29.9,35.3,165.0,1.7,-0.9346216581348484,-0.03037159548333159,2
270,347,SAR,99.877,38.0,2.0,29.092,42.75,28.035,HARD,19.0,Williams,18.0,176.36898395721926,293.0,62.0,52.54010695187166,0.339572192513369,0.232620320855615,29.8,35.5,168.0,2.2,-1.350764482998049,0.39262139287723413,2
271,348,SAR,100.134,39.0,2.0,29.131,42.858,28.145,HARD,20.0,Williams,18.0,174.44504021447722,294.0,60.0,52.38337801608579,0.32439678284182305,0.21983914209115282,29.7,35.5,171.0,1.8,-0.8408497900455723,0.5837329354888471,2
272,349,SAR,100.28,40.0,2.0,29.119,42.868,28.293,HARD,21.0,Williams,17.0,175.6876712328767,295.0,61.0,50.92876712328767,0.32054794520547947,0.23835616438356164,29.7,35.5,189.0,1.7,-0.6292318201689091,0.7957180663432923,2
