,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
536,566,MAG,91.893,54.0,2.0,31.175,34.97,25.748,HARD,40.0,Haas F1 Team,10.0,208.3448275862069,321.0,64.0,64.52298850574712,0.3074712643678161,0.1925287356321839,26.9,32.9,127.0,3.5,-1.8011619423785925,1.4537952906315248,1
537,567,MAG,91.735,55.0,2.0,30.923,34.907,25.905,HARD,41.0,Haas F1 Team,10.0,208.19886363636363,322.0,69.0,64.25852272727273,0.29545454545454547,0.21875,27.0,32.9,126.0,4.5,-1.9639583215418428,1.2485409070371944,1
538,568,MAG,91.757,56.0,2.0,30.994,34.968,25.795,HARD,42.0,Haas F1 Team,10.0,212.9159420289855,322.0,69.0,66.9768115942029,0.30434782608695654,0.17681159420289855,27.0,32.8,141.0,3.7,-3.5269538943547287,0.708693864765008,1
539,569,MAG,92.025,57.0,2.0,31.162,35.084,25.779,HARD,43.0,Haas F1 Team,10.0,209.50437317784255,323.0,66.0,64.865889212828,0.27405247813411077,0.20116618075801748,27.1,33.1,136.0,3.0,-1.7768485006347408,0.8014560310146257,1
540,571,TSU,95.313,2.0,1.0,32.666,36.098,26.549,HARD,2.0,AlphaTauri,15.0,202.93905817174516,326.0,64.0,64.28808864265928,0.4986149584487535,0.18005540166204986,26.6,33.7,124.0,3.7,3.0240022165875016,1.9651599739267203,2
541,572,TSU,94.278,3.0,1.0,32.623,35.569,26.086,HARD,3.0,AlphaTauri,15.0,204.14246575342466,329.0,65.0,64.90958904109588,0.4931506849315068,0.16712328767123288,26.7,33.9,128.0,4.1,1.5006209103277737,0.9785922452395996,2
542,573,TSU,93.804,4.0,1.0,32.237,35.492,26.075,HARD,4.0,AlphaTauri,15.0,204.75068493150684,339.0,67.0,63.679452054794524,0.4876712328767123,0.18082191780821918,26.9,33.9,158.0,4.8,1.2294727701202817,0.5717865425323684,2
543,574,TSU,93.698,5.0,1.0,32.148,35.452,26.098,HARD,5.0,AlphaTauri,14.0,203.81303116147308,344.0,62.0,62.657223796033996,0.48441926345609065,0.18980169971671387,26.9,34.5,130.0,4.5,2.250945773395181,0.6240967189506191,2
544,575,TSU,93.591,6.0,1.0,32.082,35.496,26.013,HARD,6.0,AlphaTauri,14.0,207.43103448275863,328.0,64.0,65.27873563218391,0.514367816091954,0.16091954022988506,27.0,35.2,122.0,3.7,0.6660607431153601,-0.3382745959890382,0
545,576,TSU,93.259,7.0,1.0,31.972,35.331,25.956,HARD,7.0,AlphaTauri,14.0,207.78425655976676,329.0,65.0,65.20408163265306,0.5102040816326531,0.16326530612244897,27.2,35.5,147.0,3.2,0.2865328376555389,-1.08118649774881,0
